2025-04-21 23:53:38.272 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9A1210>, SeleniumConfig(is_headless=False, is_cdp=True, is_dev=True, proxy='127.0.0.1:7890', driver=None)), kwargs={}
2025-04-21 23:53:38.272 | INFO     | common.selenium.selenium_service_normal:start_browser:48 | 启动CDP模式
2025-04-21 23:53:38.273 | INFO     | common.selenium.selenium_service_normal:start_browser:53 | 设置代理: 127.0.0.1:7890
2025-04-21 23:53:39.656 | DEBUG    | common.selenium.selenium_service_normal:start_browser:68 | 使用User-Agent: Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.8250.151 Safari/537.36 OPR/94.0.2451.835
2025-04-21 23:53:40.742 | INFO     | common.selenium.selenium_service_normal:start_browser:83 | 浏览器启动成功
2025-04-21 23:53:40.743 | INFO     | common.log.logger:wrapper:109 | 函数 start_browser 执行成功，耗时: 2.471秒
2025-04-21 23:53:42.305 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: send_keys
2025-04-21 23:53:42.305 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9A1210>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={'input_content': '测试是什么'}
2025-04-21 23:53:42.305 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:53:42.305 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9A1210>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={}
2025-04-21 23:53:42.315 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.010秒
2025-04-21 23:53:42.402 | INFO     | common.log.logger:wrapper:109 | 函数 send_keys 执行成功，耗时: 0.097秒
2025-04-21 23:53:43.403 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: send_keys
2025-04-21 23:53:43.406 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9A1210>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={'input_content': '\ue007'}
2025-04-21 23:53:43.406 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:53:43.406 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9A1210>, 'xpath', '//*[@id="searchRoot"]/div[2]/div/div[1]/div/div[2]/div[4]/form/div[1]/textarea'), kwargs={}
2025-04-21 23:53:43.412 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.006秒
2025-04-21 23:53:43.463 | INFO     | common.log.logger:wrapper:109 | 函数 send_keys 执行成功，耗时: 0.057秒
2025-04-21 23:53:49.465 | INFO     | common.selenium.selenium_service_normal:screen_page:328 | 截图保存路径: ./resource/screenshot/screenshot_20250421235349.png
2025-04-21 23:53:49.770 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: start_browser
2025-04-21 23:53:49.771 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x000001B49E9C7FD0>, SeleniumConfig(is_headless=False, is_cdp=True, is_dev=True, proxy='127.0.0.1:7890', driver=None)), kwargs={}
2025-04-21 23:53:49.771 | INFO     | common.selenium.selenium_service_normal:start_browser:48 | 启动CDP模式
